0,1,2,3,4,5,6,7,8,9,10
planetoutdoor.de,,googleadservices,,,,,taboola.com,,,
sapiens.com,,googleadservices,g.doubleclick.net,,,,,,,
green-acres.fr,,,,,," criteo
.criteo",,,,
carlisleevents.com,adsbygoogle,,g.doubleclick.net,,,,,,,
graphicode.com,,googleadservices,g.doubleclick.net,,,,,,,
employment.kg,adsbygoogle,,,,,,,,,
infraredsauna.com,,,,/ads.,,,,,,
hamamatsushitoro-aeonmall.com,,googleadservices,g.doubleclick.net,,,,,,,
powerforce.gr,,,,,,,,,,buysellads:
otakurevolution.com,adsbygoogle,,,,,,,,,
fecalface.com,adsbygoogle,googleadservices,,,,,,,,buysellads.
inventandobaldosasamarillas.es,adsbygoogle,,,,,,,,,
silverlinjen.se,,googleadservices,g.doubleclick.net,,,,,,,
schlager.de,,,g.doubleclick.net,,,,taboola.com,,,
meraluna.de,,googleadservices,,,,,,,,
shyamasundaradasa.com,,,,,amazon-adsystem.com,,,,,
vbrainstorm.com,adsbygoogle,,g.doubleclick.net,,,"""criteo",,"""outbrain",,
ebike-news.de,adsbygoogle,,,,,,taboola.com,,,buysellads:
caravan24.cz,adsbygoogle,,,,,,,,,
mssuckywanda.com,,,g.doubleclick.net,,,,,,,
nashobavalleyvoice.com,,,,/ads.,,,taboola.com,,,
wkzo.com,,,g.doubleclick.net,,,,taboola.com,,,
worldranklist.com,adsbygoogle,,,,,,,,,
elliance.com,,googleadservices,,,,,,,,
carpentry-tips-and-tricks.com,,,,,amazon-adsystem.com,,,,,
tvcunt.com,,,,/ads.,,,,,,
berger-levrault.com,,googleadservices,,,,,,,,
songlyricsgenerator.com,adsbygoogle,,,,,,,,,
wineroad.com,,,g.doubleclick.net,,,,,,,
woodmaster.com,,googleadservices,,,,,,,,
collectorsystems.com,,googleadservices,g.doubleclick.net,,,,,,,
allfortennessee.com,,,g.doubleclick.net,,amazon-adsystem.com,,,".outbrain
/outbrain",,
rasage-traditionnel.com,,,,/ads.,,".criteo
""criteo
'criteo
=criteo",taboola.com,,,
georgetowner.com,adsbygoogle,,,,,,,,,
planyourroom.com,adsbygoogle,,,,,,,,,
benoit-paris.com,,,,,,.criteo,,,,
psxextreme.info,adsbygoogle,,,,,,,,,
crimsonquarry.com,,,,,,,, outbrain,,
portlandpirates.com,,,g.doubleclick.net,,,,,,,
analgals.net,,,g.doubleclick.net,,,,,,,
silvercoinstoday.com,adsbygoogle,,,,,,,,,
helpresearch.com,,googleadservices,g.doubleclick.net,,,,,,,
takechargeamerica.org,,googleadservices,g.doubleclick.net,,,,,,,
axismoda.by,adsbygoogle,,,,,,,,,
reddevilarmada.com,,,g.doubleclick.net,,amazon-adsystem.com,,,".outbrain
/outbrain",,
feldmarwatch.com,,,g.doubleclick.net,,,,,,,
amphia.nl,,,g.doubleclick.net,,,,,,,
ibox.ua,,googleadservices,g.doubleclick.net,,,,,,,
languagejones.com,adsbygoogle,,,,,,,,,
russellcottrell.com,,,,,amazon-adsystem.com,,,,,
moviefhg.com,,,g.doubleclick.net,,,,,,,
rachelsimmons.com,,,,/ads.,,,,,,
cinienils.com,,googleadservices,g.doubleclick.net,,,,,,,
visualunit.me,,,g.doubleclick.net,/ads.,amazon-adsystem.com,.criteo,,,.pubmatic,
vidilife.com,,,g.doubleclick.net,,,,,,,
pinoybasketball.net,adsbygoogle,,,,,,,,,
dreamdachs.org,,,,,amazon-adsystem.com,,,,,
